c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Esbjerg,972,1076,1134,1201,1293,1393,1733,1816,1964,2164
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Fanø,43,42,43,45,45,58,58,52,51,67
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Fredericia,404,456,470,546,618,596,837,947,1017,1186
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Haderslev,407,463,498,562,572,628,685,840,874,1025
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Kolding,738,803,910,960,1098,1176,1390,1581,1634,1907
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Sønderborg,492,579,590,624,706,817,974,1086,1171,1295
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Tønder,227,220,253,266,321,345,408,444,487,500
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Varde,379,374,408,418,468,555,651,723,737,768
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Vejen,296,330,339,373,445,478,559,633,677,763
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Vejle,945,1070,1130,1222,1409,1530,1802,2034,2055,2359
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Aabenraa,402,463,447,494,559,600,710,783,838,928
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Favrskov,355,387,413,460,506,536,631,695,695,766
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Hedensted,339,358,405,441,478,514,622,751,825,863
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Horsens,690,732,809,880,1069,1123,1333,1576,1660,1827
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Norddjurs,271,311,343,363,426,415,523,627,621,675
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Odder,205,234,236,253,285,311,341,383,397,410
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Randers,747,802,891,927,1091,1140,1418,1612,1708,1960
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Samsø,39,26,32,31,30,35,52,57,50,62
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Silkeborg,757,814,874,923,1061,1161,1400,1500,1618,1762
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Skanderborg,489,549,600,634,695,734,859,935,927,1008
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Syddjurs,357,359,391,448,480,546,638,689,676,761
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Aarhus,3477,3733,3931,4273,4770,5179,6251,6607,6808,7754
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Herning,634,674,723,789,878,1009,1220,1322,1401,1573
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Holstebro,416,475,495,558,605,630,750,878,899,987
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Ikast-Brande,250,291,336,359,391,433,559,616,695,774
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Lemvig,133,140,159,162,188,198,237,255,236,289
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Ringkøbing-Skjern,412,464,486,500,574,599,684,816,852,930
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Skive,330,351,400,432,464,496,647,672,706,760
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Struer,135,152,175,194,212,216,237,251,261,314
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Viborg,692,761,856,938,1072,1149,1412,1607,1667,1871
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Brønderslev,220,231,250,316,325,359,401,461,533,577
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Frederikshavn,402,414,484,511,590,648,740,850,925,988
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Hjørring,473,457,588,583,654,732,870,984,992,1059
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Jammerbugt,253,256,279,288,318,344,456,488,562,594
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Læsø,10,13,11,17,22,18,23,29,28,30
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Mariagerfjord,310,317,365,397,442,454,560,618,661,742
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Morsø,118,122,124,141,165,178,226,255,275,280
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Rebild,207,240,258,269,303,334,402,422,434,487
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Thisted,260,269,310,342,367,394,489,541,541,610
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Vesthimmerlands,251,258,300,308,344,326,436,478,486,552
Families in the group (Number),"500,000 - 599,999 DKK","Single people, total",Aalborg,1745,1997,2159,2336,2688,2825,3486,3859,3950,4478
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",All Denmark,192608,191542,190845,189625,188904,192436,187807,189439,192005,191380
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Copenhagen,15945,16529,17245,17919,18807,19427,20574,21661,22173,23305
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Frederiksberg,3304,3381,3400,3353,3501,3513,3715,3691,3815,3816
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Dragør,405,414,400,411,387,383,413,423,390,406
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Tårnby,1373,1392,1333,1285,1262,1220,1200,1247,1301,1334
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Albertslund,835,819,772,811,831,855,878,855,843,854
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ballerup,1385,1437,1423,1480,1350,1417,1431,1434,1500,1606
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Brøndby,1070,1053,1055,1116,1080,1095,1087,1106,1200,1254
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Gentofte,1855,1950,1930,1934,1927,1996,2062,2079,2079,2107
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Gladsaxe,1926,1858,1981,1970,1904,1988,2096,2017,2125,2139
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Glostrup,718,709,679,741,668,712,701,758,769,769
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Herlev,896,904,887,870,891,930,888,912,921,925
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Hvidovre,1608,1597,1563,1600,1616,1617,1569,1561,1638,1514
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Høje-Taastrup,1549,1550,1507,1572,1578,1656,1678,1786,1895,1915
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ishøj,731,725,759,793,793,826,820,766,888,800
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Lyngby-Taarbæk,1378,1415,1482,1479,1484,1563,1659,1662,1651,1671
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Rødovre,1125,1162,1182,1275,1195,1181,1164,1229,1318,1348
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Vallensbæk,519,521,555,543,561,565,556,550,519,519
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Allerød,687,673,690,654,724,757,713,725,687,717
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Egedal,1474,1411,1354,1248,1306,1273,1292,1286,1277,1282
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Fredensborg,1279,1300,1295,1297,1313,1362,1358,1305,1348,1375
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Frederikssund,1478,1419,1441,1418,1435,1485,1450,1519,1538,1506
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Furesø,1130,1095,1107,1123,1154,1165,1166,1146,1220,1182
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Gribskov,1487,1488,1419,1440,1417,1482,1420,1425,1405,1462
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Halsnæs,1155,1124,1096,1146,1079,1122,1104,1080,1065,1108
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Helsingør,1900,1926,1946,1967,1965,2029,2061,2044,2073,2077
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Hillerød,1531,1467,1473,1478,1568,1589,1529,1676,1669,1718
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Hørsholm,718,654,697,675,678,704,691,695,641,699
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Rudersdal,1498,1457,1488,1463,1469,1477,1521,1493,1528,1543
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Bornholm,1539,1536,1525,1528,1480,1516,1463,1454,1509,1384
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Greve,1540,1608,1530,1527,1453,1437,1433,1503,1453,1451
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Køge,1973,1966,1937,1941,1874,1959,1843,1912,1943,1953
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Lejre,995,993,995,955,951,924,931,916,890,905
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Roskilde,2536,2563,2504,2496,2501,2599,2635,2699,2583,2706
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Solrød,747,698,741,717,703,687,684,665,680,662
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Faxe,1360,1364,1362,1345,1338,1422,1298,1285,1364,1308
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Guldborgsund,2078,2137,2163,2100,2134,2116,2039,2110,2082,2082
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Holbæk,2460,2473,2554,2423,2439,2422,2372,2379,2446,2492
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Kalundborg,1693,1688,1690,1702,1664,1733,1723,1766,1726,1804
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Lolland,1514,1476,1487,1428,1369,1387,1323,1275,1263,1303
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Næstved,2975,2925,3001,2841,2769,2902,2833,2928,2867,2783
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Odsherred,1171,1137,1192,1139,1132,1183,1195,1215,1182,1181
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ringsted,1217,1205,1155,1183,1153,1217,1142,1178,1142,1232
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Slagelse,2731,2685,2666,2705,2681,2670,2582,2630,2637,2605
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Sorø,1070,1125,1074,1057,1004,1072,1020,1070,1077,1020
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Stevns,906,892,862,859,832,867,855,823,825,826
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Vordingborg,1572,1567,1556,1538,1556,1616,1533,1517,1479,1560
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Assens,1652,1634,1608,1556,1526,1520,1459,1531,1507,1380
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Faaborg-Midtfyn,2059,2010,1983,1938,1952,1981,1906,1870,1930,1774
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Kerteminde,868,874,858,900,860,854,836,770,825,775
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Langeland,469,463,462,504,446,462,447,424,431,413
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Middelfart,1460,1426,1395,1406,1409,1359,1374,1327,1333,1361
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Nordfyns,1153,1146,1195,1162,1181,1189,1087,1113,1114,1055
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Nyborg,1233,1227,1234,1167,1159,1150,1092,1104,1104,1079
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Odense,5895,5813,5749,5731,5789,5880,5758,5885,6044,6255
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Svendborg,2098,2057,2011,1978,2008,2028,1900,1909,1965,1942
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ærø,203,230,225,217,183,191,181,200,205,192
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Billund,1071,1058,960,981,958,991,951,931,967,869
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Esbjerg,4103,4127,4093,3975,4014,4072,3838,3817,3738,3694
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Fanø,135,137,147,133,131,140,138,133,145,135
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Fredericia,1713,1641,1679,1679,1670,1704,1648,1676,1687,1784
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Haderslev,2030,2001,2055,1989,2028,2038,1899,1806,1866,1920
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Kolding,3225,3251,3038,2995,2935,2999,2879,2940,2931,2829
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Sønderborg,2654,2687,2667,2636,2610,2640,2411,2367,2423,2310
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Tønder,1494,1415,1403,1395,1397,1438,1323,1285,1253,1206
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Varde,2083,2024,1938,1945,1920,1946,1881,1797,1756,1690
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Vejen,1712,1674,1703,1592,1645,1624,1547,1498,1592,1473
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Vejle,3937,3910,3903,3858,3730,3875,3805,3805,3811,3735
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Aabenraa,2258,2197,2198,2105,2170,2137,2041,2025,2052,1954
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Favrskov,1868,1765,1705,1717,1684,1694,1509,1508,1461,1386
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Hedensted,1968,1956,1865,1892,1802,1818,1666,1583,1655,1530
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Horsens,3196,3100,3080,3007,2937,3140,2919,3042,3091,3024
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Norddjurs,1506,1510,1487,1472,1390,1382,1316,1262,1286,1227
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Odder,859,843,819,837,803,828,784,748,765,770
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Randers,3666,3558,3431,3302,3299,3314,3118,3213,3309,3194
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Samsø,120,142,134,119,126,143,144,164,164,143
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Silkeborg,3290,3220,3247,3188,3262,3228,3128,3077,3143,3049
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Skanderborg,2132,2151,2145,2011,1950,1934,1771,1846,1848,1746
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Syddjurs,1541,1612,1588,1610,1477,1595,1437,1455,1512,1449
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Aarhus,9028,8933,9100,9278,9318,9659,9792,10057,10249,10756
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Herning,3355,3371,3275,3270,3150,3112,2989,2888,2963,2833
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Holstebro,2252,2243,2112,2107,2131,2107,1900,1854,1937,1823
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ikast-Brande,1649,1613,1529,1519,1518,1523,1448,1451,1436,1325
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Lemvig,792,774,790,746,719,716,661,708,711,658
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Ringkøbing-Skjern,2282,2164,2165,2157,2076,2055,1969,1882,1927,1813
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Skive,1872,1826,1827,1804,1730,1711,1527,1535,1545,1549
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Struer,867,861,835,792,789,800,742,693,700,656
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Viborg,3732,3505,3529,3470,3463,3446,3245,3235,3308,3223
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Brønderslev,1448,1470,1467,1390,1393,1382,1253,1178,1193,1167
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Frederikshavn,2520,2457,2311,2266,2191,2236,2130,2116,2101,2010
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Hjørring,2644,2571,2542,2404,2449,2383,2271,2250,2300,2194
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Jammerbugt,1624,1552,1489,1469,1432,1467,1368,1277,1301,1183
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Læsø,70,77,57,73,58,70,51,64,59,57
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Mariagerfjord,1662,1663,1646,1575,1576,1603,1493,1472,1523,1460
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Morsø,826,807,867,811,804,760,726,717,753,716
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Rebild,1186,1208,1213,1195,1139,1134,1029,987,932,911
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Thisted,1875,1861,1816,1765,1710,1717,1573,1521,1524,1441
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Vesthimmerlands,1480,1502,1508,1464,1406,1452,1366,1364,1328,1242
Families in the group (Number),"600,000 - 699,999 DKK","Families, total",Aalborg,6754,6751,6606,6526,6421,6691,6381,6623,6678,6812
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",All Denmark,166046,162309,159165,155501,151100,151163,137537,132692,132644,122382
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Copenhagen,11254,11387,11647,11842,11889,11855,11169,11113,11023,10283
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Frederiksberg,2049,1975,1926,1852,1880,1839,1712,1606,1681,1522
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Dragør,312,302,287,295,281,260,261,265,240,235
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Tårnby,1182,1165,1086,985,944,895,785,792,808,736
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Albertslund,700,674,618,645,657,651,617,588,580,533
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ballerup,1111,1122,1099,1118,991,1004,966,929,958,928
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Brøndby,944,909,889,936,878,914,820,819,882,853
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Gentofte,1092,1108,1099,1051,1028,1026,948,930,978,879
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Gladsaxe,1462,1393,1438,1390,1319,1366,1279,1205,1233,1108
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Glostrup,615,586,555,591,511,536,473,492,514,452
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Herlev,738,737,722,696,671,695,594,612,579,543
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Hvidovre,1359,1309,1273,1286,1253,1191,1118,1036,1087,890
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Høje-Taastrup,1322,1284,1242,1273,1253,1293,1216,1254,1280,1232
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ishøj,660,634,645,665,665,695,660,588,678,567
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Lyngby-Taarbæk,895,895,918,903,868,912,914,869,876,755
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Rødovre,928,917,933,997,919,863,794,803,860,798
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Vallensbæk,430,410,436,425,434,415,378,357,349,308
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Allerød,510,487,480,459,492,514,437,429,418,408
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Egedal,1210,1116,1057,948,965,928,841,822,773,692
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Fredensborg,990,1011,990,990,988,992,920,847,879,832
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Frederikssund,1266,1190,1159,1113,1102,1086,1003,982,986,879
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Furesø,841,786,780,759,789,808,748,700,732,652
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Gribskov,1253,1208,1134,1134,1112,1154,1039,985,946,918
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Halsnæs,990,945,915,935,844,900,804,768,727,691
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Helsingør,1550,1527,1509,1489,1445,1452,1382,1298,1328,1231
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Hillerød,1190,1133,1138,1117,1157,1107,985,1026,1007,930
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Hørsholm,471,440,438,403,413,436,397,380,360,340
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Rudersdal,988,932,913,880,890,844,850,813,843,758
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Bornholm,1436,1415,1389,1376,1329,1343,1245,1209,1260,1108
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Greve,1260,1310,1241,1183,1086,1035,1021,994,980,880
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Køge,1668,1625,1593,1545,1476,1497,1300,1301,1305,1175
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Lejre,867,858,822,783,744,713,658,617,597,579
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Roskilde,1967,1972,1860,1811,1769,1807,1665,1651,1548,1491
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Solrød,609,548,579,555,541,505,452,422,417,386
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Faxe,1199,1194,1192,1148,1117,1171,1008,943,974,857
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Guldborgsund,1902,1945,1941,1849,1869,1814,1650,1645,1625,1509
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Holbæk,2187,2130,2148,2032,1965,1909,1719,1655,1684,1579
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Kalundborg,1479,1450,1401,1404,1348,1375,1271,1181,1186,1064
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Lolland,1419,1363,1360,1304,1230,1236,1136,1056,1006,983
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Næstved,2675,2607,2625,2424,2281,2364,2104,2053,2024,1807
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Odsherred,1053,1018,1060,978,962,979,937,912,911,855
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ringsted,1086,1054,985,998,953,983,879,848,797,793
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Slagelse,2467,2401,2341,2334,2233,2186,1961,1880,1888,1741
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Sorø,963,990,911,880,805,846,779,774,786,675
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Stevns,802,780,750,742,677,711,669,609,600,574
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Vordingborg,1416,1382,1351,1318,1300,1336,1185,1130,1088,1073
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Assens,1552,1512,1461,1421,1370,1332,1241,1264,1235,1061
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Faaborg-Midtfyn,1920,1857,1826,1783,1761,1780,1630,1520,1579,1374
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Kerteminde,801,785,760,798,740,728,690,633,653,570
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Langeland,444,432,426,470,405,422,387,366,365,334
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Middelfart,1322,1259,1247,1222,1206,1172,1112,1037,988,974
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Nordfyns,1075,1064,1101,1060,1059,1058,952,943,912,794
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Nyborg,1145,1125,1108,1050,1004,997,912,885,849,806
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Odense,5197,5063,4934,4846,4707,4691,4371,4301,4371,4210
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Svendborg,1900,1860,1791,1730,1740,1707,1536,1484,1521,1380
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ærø,182,206,196,190,163,171,148,162,173,144
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Billund,984,953,850,857,822,855,771,725,709,605
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Esbjerg,3659,3655,3571,3449,3414,3371,3048,2906,2814,2587
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Fanø,111,117,125,113,107,118,100,95,108,94
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Fredericia,1541,1464,1472,1443,1419,1409,1318,1255,1209,1222
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Haderslev,1875,1797,1836,1770,1776,1763,1556,1469,1504,1463
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Kolding,2870,2857,2677,2564,2456,2469,2202,2121,2098,1908
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Sønderborg,2449,2441,2396,2343,2278,2275,1994,1894,1900,1744
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Tønder,1417,1316,1305,1280,1273,1295,1159,1068,1042,960
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Varde,1930,1864,1750,1745,1691,1725,1595,1457,1393,1293
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Vejen,1596,1538,1560,1451,1461,1425,1318,1196,1260,1138
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Vejle,3479,3433,3352,3276,3132,3184,2912,2804,2737,2519
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Aabenraa,2096,2006,1972,1896,1919,1854,1703,1646,1654,1518
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Favrskov,1714,1608,1528,1501,1429,1423,1175,1163,1098,955
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Hedensted,1834,1787,1688,1678,1581,1595,1427,1293,1265,1102
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Horsens,2894,2799,2743,2605,2488,2641,2338,2304,2327,2166
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Norddjurs,1384,1371,1334,1329,1240,1196,1087,1009,1015,907
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Odder,787,749,717,706,677,701,625,579,584,545
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Randers,3339,3230,3075,2879,2819,2830,2512,2493,2505,2290
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Samsø,112,126,117,108,114,127,124,130,138,107
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Silkeborg,2953,2862,2842,2743,2767,2680,2453,2298,2273,2090
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Skanderborg,1888,1893,1830,1703,1618,1571,1352,1361,1333,1189
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Syddjurs,1392,1433,1400,1396,1264,1349,1137,1124,1159,1045
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Aarhus,7564,7293,7323,7418,7221,7379,6893,6788,6930,6843
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Herning,3120,3097,2962,2916,2772,2685,2451,2259,2291,2068
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Holstebro,2076,2083,1914,1898,1865,1840,1569,1478,1530,1354
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ikast-Brande,1536,1470,1389,1367,1336,1341,1218,1175,1131,993
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Lemvig,729,702,700,655,626,625,554,591,571,516
Families in the group (Number),"600,000 - 699,999 DKK","Couples, total",Ringkøbing-Skjern,2107,1970,1975,1932,1835,1828,1666,1536,1549,1386
