c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Couples, total",Høje-Taastrup,11486,11568,11685,11734,11747,11887,12045,12227,12580,13049
Families in the group (Number),Total,"Couples, total",Ishøj,5046,5102,5167,5252,5193,5186,5184,5169,5155,5177
Families in the group (Number),Total,"Couples, total",Lyngby-Taarbæk,11966,11980,11979,12057,12237,12328,12397,12541,12631,12635
Families in the group (Number),Total,"Couples, total",Rødovre,8356,8430,8588,8785,8925,9001,9067,9099,9234,9598
Families in the group (Number),Total,"Couples, total",Vallensbæk,3885,3934,4019,4124,4197,4167,4129,4103,4170,4254
Families in the group (Number),Total,"Couples, total",Allerød,6373,6446,6487,6557,6699,6723,6801,6789,6754,6737
Families in the group (Number),Total,"Couples, total",Egedal,11340,11342,11365,11333,11434,11489,11552,11704,11790,11766
Families in the group (Number),Total,"Couples, total",Fredensborg,9727,9818,9904,10038,10110,10103,10128,10151,10198,10250
Families in the group (Number),Total,"Couples, total",Frederikssund,11064,11125,11160,11233,11255,11198,11282,11430,11441,11456
Families in the group (Number),Total,"Couples, total",Furesø,9698,9926,9981,10105,10148,10171,10184,10316,10434,10457
Families in the group (Number),Total,"Couples, total",Gribskov,10271,10309,10378,10362,10343,10354,10420,10498,10551,10636
Families in the group (Number),Total,"Couples, total",Halsnæs,7581,7624,7685,7679,7743,7743,7744,7769,7696,7677
Families in the group (Number),Total,"Couples, total",Helsingør,14304,14422,14553,14635,14648,14765,14909,14935,14869,14932
Families in the group (Number),Total,"Couples, total",Hillerød,11738,11897,12028,12175,12313,12340,12449,12789,12831,12879
Families in the group (Number),Total,"Couples, total",Hørsholm,6059,6071,6071,6120,6107,6110,6151,6169,6136,6141
Families in the group (Number),Total,"Couples, total",Rudersdal,13310,13386,13478,13492,13534,13621,13773,13914,13822,13847
Families in the group (Number),Total,"Couples, total",Bornholm,10003,9908,9939,9939,9890,9851,9784,9758,9704,9560
Families in the group (Number),Total,"Couples, total",Greve,12544,12680,12809,12831,12839,12884,12821,12862,12944,13075
Families in the group (Number),Total,"Couples, total",Køge,14434,14458,14617,14720,14840,14952,15030,14983,15017,15059
Families in the group (Number),Total,"Couples, total",Lejre,7194,7209,7245,7324,7353,7373,7404,7439,7505,7565
Families in the group (Number),Total,"Couples, total",Roskilde,19982,20239,20511,20678,20850,20996,21292,21377,21461,21596
Families in the group (Number),Total,"Couples, total",Solrød,5609,5667,5755,5897,6038,6061,6127,6172,6214,6283
Families in the group (Number),Total,"Couples, total",Faxe,8919,8949,9099,9159,9221,9219,9194,9271,9220,9215
Families in the group (Number),Total,"Couples, total",Guldborgsund,15000,14972,14937,14805,14672,14632,14518,14474,14293,14127
Families in the group (Number),Total,"Couples, total",Holbæk,17056,17236,17380,17363,17392,17395,17529,17653,17638,17828
Families in the group (Number),Total,"Couples, total",Kalundborg,11883,11894,11930,11998,11899,11758,11810,11776,11676,11570
Families in the group (Number),Total,"Couples, total",Lolland,10457,10321,10181,10102,9994,9771,9679,9499,9332,9226
Families in the group (Number),Total,"Couples, total",Næstved,19989,19959,19975,19952,19962,19993,20008,20024,19996,20003
Families in the group (Number),Total,"Couples, total",Odsherred,8179,8189,8233,8239,8202,8145,8154,8162,8089,7931
Families in the group (Number),Total,"Couples, total",Ringsted,8119,8217,8276,8343,8398,8452,8470,8504,8623,8666
